Contract,n_functions,n_protected_functions,minimal_raw_function_coverage,minimal_raw_valid_ratio,minimal_raw_test_cases,minimal_raw_category_diversity,minimal_raw_negative_case_rate,minimal_raw_protected_function_coverage,strong_raw_function_coverage,strong_raw_valid_ratio,strong_raw_test_cases,strong_raw_category_diversity,strong_raw_negative_case_rate,strong_raw_protected_function_coverage,strong_purified_function_coverage,strong_purified_valid_ratio,strong_purified_test_cases,strong_purified_category_diversity,strong_purified_negative_case_rate,strong_purified_protected_function_coverage,strong_preprocessed_function_coverage,strong_preprocessed_valid_ratio,strong_preprocessed_test_cases,strong_preprocessed_category_diversity,strong_preprocessed_negative_case_rate,strong_preprocessed_protected_function_coverage,autotestai_no_preprocess_function_coverage,autotestai_no_preprocess_valid_ratio,autotestai_no_preprocess_test_cases,autotestai_no_preprocess_category_diversity,autotestai_no_preprocess_negative_case_rate,autotestai_no_preprocess_protected_function_coverage,autotestai_full_function_coverage,autotestai_full_valid_ratio,autotestai_full_test_cases,autotestai_full_category_diversity,autotestai_full_negative_case_rate,autotestai_full_protected_function_coverage
M27_01,11,2,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,72.73,100.0,13.0,1.0,23.08,100.0,90.91,100.0,10.0,1.0,10.0,100.0,63.64,100.0,11.0,2.0,27.27,100.0,36.36,100.0,10.0,2.0,30.0,0.0
M27_02,8,0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,75.0,100.0,10.0,2.0,50.0,0.0,75.0,100.0,10.0,2.0,50.0,0.0,100.0,100.0,9.0,2.0,0.0,0.0,100.0,100.0,9.0,1.0,22.22,0.0
M27_03,2,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,50.0,4.0,1.0,0.0,0.0,100.0,100.0,4.0,2.0,50.0,0.0,100.0,100.0,4.0,2.0,50.0,0.0,100.0,100.0,4.0,2.0,50.0,0.0
M27_04,1,0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,100.0,3.0,3.0,33.33,0.0,100.0,100.0,3.0,2.0,0.0,0.0,100.0,100.0,4.0,3.0,50.0,0.0,100.0,100.0,3.0,2.0,0.0,0.0
M27_05,10,0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,50.0,100.0,5.0,1.0,0.0,0.0,50.0,100.0,5.0,2.0,0.0,0.0,50.0,100.0,14.0,3.0,35.71,0.0,90.0,100.0,21.0,2.0,57.14,0.0
M27_06,1,0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,100.0,6.0,2.0,16.67,0.0,100.0,100.0,6.0,2.0,16.67,0.0,100.0,100.0,8.0,3.0,37.5,0.0,100.0,100.0,6.0,3.0,33.33,0.0
M27_07,7,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,100.0,100.0,9.0,1.0,0.0,0.0,100.0,100.0,9.0,2.0,11.11,0.0,71.43,100.0,32.0,1.0,0.0,0.0,71.43,77.78,9.0,2.0,14.29,0.0
M27_08,5,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,100.0,5.0,1.0,0.0,0.0,100.0,100.0,5.0,1.0,0.0,0.0,100.0,100.0,5.0,1.0,0.0,0.0,100.0,100.0,13.0,3.0,38.46,0.0,100.0,100.0,10.0,2.0,0.0,0.0
M27_09,1,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,100.0,4.0,3.0,25.0,0.0,100.0,100.0,3.0,3.0,33.33,0.0,100.0,100.0,6.0,3.0,50.0,0.0,100.0,100.0,7.0,2.0,71.43,0.0
M27_10,1,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,100.0,2.0,2.0,50.0,0.0,100.0,100.0,2.0,2.0,50.0,0.0,100.0,100.0,3.0,2.0,33.33,0.0,100.0,100.0,2.0,2.0,50.0,0.0
